Novo Ford K 1.0;10;5;80.00;Econômica;Localiza;Campina Grande;
Novo Fiat Uno 1.0;10;5;80.00;Econômica;Localiza;Campina Grande;
Prisma LT 1.0;10;5;90.00;Econômica;Localiza;Campina Grande;
Sandero 1.0;10;5;90.00;Econômica;Localiza;Campina Grande;
Jeep Renegade Sport 1.8;10;5;200.00;Luxo;Localiza;Campina Grande;
Toyota Corolla GLI 1.8;10;5;200.00;Luxo;Localiza;Campina Grande;
GM Cruze Sedan 1.4;10;5;200.00;Luxo;Localiza;Campina Grande;
Jaguar XF R-Sport;10;5;400.00;Luxo;Localiza;Campina Grande;
GM Spin 1.8;10;7;180.00;Luxo;Localiza;Campina Grande;
Fiat Doblò;10;7;180.00;Luxo;Localiza;Campina Grande;
Fiat Strada 1.4;10;2;150.00;Econômica;Localiza;Campina Grande;
Saveiro 1.8;10;2;160.00;Econômica;Localiza;Campina Grande;
Montana 1.4;10;2;130.00;Econômica;Localiza;Campina Grande;
Novo Ford K 1.0;10;5;80.00;Econômica;Localiza;João Pessoa;
Novo Fiat Uno 1.0;10;5;80.00;Econômica;Localiza;João Pessoa;
Prisma LT 1.0;10;5;90.00;Econômica;Localiza;João Pessoa;
Sandero 1.0;10;5;90.00;Econômica;Localiza;João Pessoa;
Jeep Renegade Sport 1.8;10;5;200.00;Luxo;Localiza;João Pessoa;
Toyota Corolla GLI 1.8;10;5;200.00;Luxo;Localiza;João Pessoa;
GM Cruze Sedan 1.4;10;5;200.00;Luxo;Localiza;João Pessoa;
Jaguar XF R-Sport;10;5;400.00;Luxo;Localiza;João Pessoa;
GM Spin 1.8;10;7;180.00;Luxo;Localiza;João Pessoa;
Fiat Doblò;10;7;180.00;Luxo;Localiza;João Pessoa;
Fiat Strada 1.4;10;2;150.00;Econômica;Localiza;João Pessoa;
Saveiro 1.8;10;2;160.00;Econômica;Localiza;João Pessoa;
Montana 1.4;10;2;130.00;Econômica;Localiza;João Pessoa;
Novo Ford K 1.0;10;5;80.00;Econômica;Localiza;Patos;
Novo Fiat Uno 1.0;10;5;80.00;Econômica;Localiza;Patos;
Prisma LT 1.0;10;5;90.00;Econômica;Localiza;Patos;
Sandero 1.0;10;5;90.00;Econômica;Localiza;Patos;
Jeep Renegade Sport 1.8;10;5;200.00;Luxo;Localiza;Patos;
Toyota Corolla GLI 1.8;10;5;200.00;Luxo;Localiza;Patos;
GM Cruze Sedan 1.4;10;5;200.00;Luxo;Localiza;Patos;
Jaguar XF R-Sport;10;5;400.00;Luxo;Localiza;Patos;
GM Spin 1.8;10;7;180.00;Luxo;Localiza;Patos;
Fiat Doblò;10;7;180.00;Luxo;Localiza;Patos;
Fiat Strada 1.4;10;2;150.00;Econômica;Localiza;Patos;
Saveiro 1.8;10;2;160.00;Econômica;Localiza;Patos;
Montana 1.4;10;2;130.00;Econômica;Localiza;Patos;
Novo Ford K 1.0;10;5;80.00;Econômica;Localiza;Souza;
Novo Fiat Uno 1.0;10;5;80.00;Econômica;Localiza;Souza;
Prisma LT 1.0;10;5;90.00;Econômica;Localiza;Souza;
Sandero 1.0;10;5;90.00;Econômica;Localiza;Souza;
Toyota Corolla GLI 1.8;10;5;200.00;Luxo;Localiza;Souza;
GM Cruze Sedan 1.4;10;5;200.00;Luxo;Localiza;Souza;
Fiat Doblò;10;7;180.00;Luxo;Localiza;Souza;
Fiat Strada 1.4;10;2;150.00;Econômica;Localiza;Souza;
Saveiro 1.8;10;2;160.00;Econômica;Localiza;Souza;
Montana 1.4;10;2;130.00;Econômica;Localiza;Souza;
Novo Ford K 1.0;10;5;80.00;Econômica;Localiza;Cajazeiras;
Novo Fiat Uno 1.0;10;5;80.00;Econômica;Localiza;Cajazeiras;
Prisma LT 1.0;10;5;90.00;Econômica;Localiza;Cajazeiras;
Sandero 1.0;10;5;90.00;Econômica;Localiza;Cajazeiras;
Toyota Corolla GLI 1.8;10;5;200.00;Luxo;Localiza;Cajazeiras;
GM Cruze Sedan 1.4;10;5;200.00;Luxo;Localiza;Cajazeiras;
Fiat Doblò;10;7;180.00;Luxo;Localiza;Cajazeiras;
Fiat Strada 1.4;10;2;150.00;Econômica;Localiza;Cajazeiras;
Saveiro 1.8;10;2;160.00;Econômica;Localiza;Cajazeiras;
Montana 1.4;10;2;130.00;Econômica;Localiza;Cajazeiras;
Novo Ford K 1.0;10;5;80.00;Econômica;Localiza;Guarabira;
Novo Fiat Uno 1.0;10;5;80.00;Econômica;Localiza;Guarabira;
Prisma LT 1.0;10;5;90.00;Econômica;Localiza;Guarabira;
Sandero 1.0;10;5;90.00;Econômica;Localiza;Guarabira;
Toyota Corolla GLI 1.8;10;5;200.00;Luxo;Localiza;Guarabira;
GM Cruze Sedan 1.4;10;5;200.00;Luxo;Localiza;Guarabira;
Fiat Doblò;10;7;180.00;Luxo;Localiza;Guarabira;
Fiat Strada 1.4;10;2;150.00;Econômica;Localiza;Guarabira;
Saveiro 1.8;10;2;160.00;Econômica;Localiza;Guarabira;
Montana 1.4;10;2;130.00;Econômica;Localiza;Guarabira;
Novo Ford K 1.0;10;5;80.00;Econômica;Localiza;Cabedelo;
Novo Fiat Uno 1.0;10;5;80.00;Econômica;Localiza;Cabedelo;
Prisma LT 1.0;10;5;90.00;Econômica;Localiza;Cabedelo;
Sandero 1.0;10;5;90.00;Econômica;Localiza;Cabedelo;
Toyota Corolla GLI 1.8;10;5;200.00;Luxo;Localiza;Cabedelo;
GM Cruze Sedan 1.4;10;5;200.00;Luxo;Localiza;Cabedelo;
Fiat Doblò;10;7;180.00;Luxo;Localiza;Cabedelo;
Fiat Strada 1.4;10;2;150.00;Econômica;Localiza;Cabedelo;
Saveiro 1.8;10;2;160.00;Econômica;Localiza;Cabedelo;
Montana 1.4;10;2;130.00;Econômica;Localiza;Cabedelo;
Novo Ford K 1.0;10;5;80.00;Econômica;Localiza;Santa Rita;
Novo Fiat Uno 1.0;10;5;80.00;Econômica;Localiza;Santa Rita;
Prisma LT 1.0;10;5;90.00;Econômica;Localiza;Santa Rita;
Fiat Strada 1.4;10;2;150.00;Econômica;Localiza;Santa Rita;
Novo Ford K 1.0;10;5;80.00;Econômica;Localiza;Monteiro;
Novo Fiat Uno 1.0;10;5;80.00;Econômica;Localiza;Monteiro;
Prisma LT 1.0;10;5;90.00;Econômica;Localiza;Monteiro;
Fiat Strada 1.4;10;2;150.00;Econômica;Localiza;Monteiro;
Novo Ford K 1.0;10;5;80.00;Econômica;Localiza;Sumé;
Novo Fiat Uno 1.0;10;5;80.00;Econômica;Localiza;Sumé;
Prisma LT 1.0;10;5;90.00;Econômica;Localiza;Sumé;
Fiat Strada 1.4;10;2;150.00;Econômica;Localiza;Sumé;
Gol G6 1.0;10;5;70.00;Econômica;Movida;Campina Grande;
Novo Fiat Uno 1.0;10;5;70.00;Econômica;Movida;Campina Grande;
Prisma LT 1.0;10;5;85.00;Econômica;Movida;Campina Grande;
Sandero 1.0;10;5;85.00;Econômica;Movida;Campina Grande;
Honda Civic 2.0;10;5;210.00;Luxo;Movida;Campina Grande;
Toyota Corolla GLI 1.8;10;5;210.00;Luxo;Movida;Campina Grande;
GM Cruze Sedan 1.4;10;5;210.00;Luxo;Movida;Campina Grande;
Mercedes C180;10;5;350.00;Luxo;Movida;Campina Grande;
GM Spin 1.8;10;7;160.00;Luxo;Movida;Campina Grande;
Fiat Doblò;10;7;160.00;Luxo;Movida;Campina Grande;
Fiat Strada 1.4;10;2;150.00;Econômica;Movida;Campina Grande;
Saveiro 1.8;10;2;160.00;Econômica;Movida;Campina Grande;
Montana 1.4;10;2;130.00;Econômica;Movida;Campina Grande;
Gol G6 1.0;10;5;70.00;Econômica;Movida;João Pessoa;
Novo Fiat Uno 1.0;10;5;70.00;Econômica;Movida;João Pessoa;
Prisma LT 1.0;10;5;85.00;Econômica;Movida;João Pessoa;
Sandero 1.0;10;5;85.00;Econômica;Movida;João Pessoa;
Honda Civic 2.0;10;5;210.00;Luxo;Movida;João Pessoa;
Toyota Corolla GLI 1.8;10;5;210.00;Luxo;Movida;João Pessoa;
GM Cruze Sedan 1.4;10;5;210.00;Luxo;Movida;João Pessoa;
Mercedes C180;10;5;350.00;Luxo;Movida;João Pessoa;
GM Spin 1.8;10;7;160.00;Luxo;Movida;João Pessoa;
Fiat Doblò;10;7;160.00;Luxo;Movida;João Pessoa;
Fiat Strada 1.4;10;2;150.00;Econômica;Movida;João Pessoa;
Saveiro 1.8;10;2;160.00;Econômica;Movida;João Pessoa;
Montana 1.4;10;2;130.00;Econômica;Movida;João Pessoa;
Gol G6 1.0;10;5;70.00;Econômica;Movida;Patos;
Novo Fiat Uno 1.0;10;5;70.00;Econômica;Movida;Patos;
Prisma LT 1.0;10;5;85.00;Econômica;Movida;Patos;
Sandero 1.0;10;5;85.00;Econômica;Movida;Patos;
Honda Civic 2.0;10;5;210.00;Luxo;Movida;Patos;
Toyota Corolla GLI 1.8;10;5;210.00;Luxo;Movida;Patos;
GM Cruze Sedan 1.4;10;5;210.00;Luxo;Movida;Patos;
Mercedes C180;10;5;350.00;Luxo;Movida;Patos;
GM Spin 1.8;10;7;160.00;Luxo;Movida;Patos;
Fiat Doblò;10;7;160.00;Luxo;Movida;Patos;
Fiat Strada 1.4;10;2;150.00;Econômica;Movida;Patos;
Saveiro 1.8;10;2;160.00;Econômica;Movida;Patos;
Montana 1.4;10;2;130.00;Econômica;Movida;Patos;
Gol G6 1.0;10;5;70.00;Econômica;Movida;Souza;
